prev,next,frequency
a,a,255
a,b,13238
a,c,18022
a,d,9605
a,e,6131
a,f,2147
a,g,8545
a,h,1449
a,i,6588
a,j,318
a,k,3053
a,l,40559
a,m,11453
a,n,40043
a,o,389
a,p,10562
a,q,341
a,r,31753
a,s,16637
a,t,42056
a,u,5457
a,v,3495
a,w,1952
a,x,1286
a,y,2611
a,z,1474
a,<EOS>,16373
b,a,8685
b,b,1711
b,c,390
b,d,452
b,e,8860
b,f,144
b,g,87
b,h,187
b,i,8912
b,j,256
b,k,36
b,l,12412
b,m,237
b,n,166
b,o,6967
b,p,206
b,q,10
b,r,6095
b,s,1525
b,t,492
b,u,4645
b,v,141
b,w,78
b,x,4
b,y,596
b,z,10
b,<EOS>,638
c,a,23273
c,b,23
c,c,2384
c,d,53
c,e,14902
c,f,19
c,g,14
c,h,19822
c,i,11481
c,k,6525
c,l,5088
c,m,52
c,n,228
c,o,24157
c,p,42
c,q,178
c,r,8336
c,s,1031
c,t,10302
c,u,7752
c,v,2
c,w,20
c,x,1
c,y,3560
c,z,45
c,<EOS>,13690
d,a,8639
d,b,358
d,c,201
d,d,1822
d,e,22148
d,f,343
d,g,1029
d,h,479
d,i,19349
d,j,294
d,k,46
d,l,3017
d,m,619
d,n,1424
d,o,8317
d,p,184
d,q,12
d,r,5029
d,s,2717
d,t,145
d,u,3435
d,v,375
d,w,494
d,x,2
d,y,1780
d,z,40
d,<EOS>,30894
e,a,15041
e,b,3042
e,c,13179
e,d,30879
e,e,7312
e,f,3774
e,g,4208
e,h,1461
e,i,4366
e,j,396
e,k,695
e,l,19586
e,m,12725
e,n,38436
e,o,5476
e,p,8610
e,q,931
e,r,66715
e,s,46929
e,t,18125
e,u,4490
e,v,3385
e,w,2367
e,x,5175
e,y,1743
e,z,450
e,<EOS>,56959
f,a,3561
f,b,49
f,c,39
f,d,40
f,e,5162
f,f,3062
f,g,24
f,h,42
f,i,7027
f,j,8
f,k,12
f,l,4104
f,m,45
f,n,44
f,o,5545
f,p,29
f,r,2832
f,s,318
f,t,1219
f,u,3908
f,v,2
f,w,42
f,x,3
f,y,943
f,z,6
f,<EOS>,1172
g,a,7713
g,b,198
g,c,34
g,d,124
g,e,11916
g,f,121
g,g,2113
g,h,2864
g,i,8527
g,j,12
g,k,35
g,l,5660
g,m,845
g,n,2781
g,o,4842
g,p,69
g,q,1
g,r,7272
g,s,1682
g,t,213
g,u,3820
g,v,5
g,w,211
g,y,2064
g,z,12
g,<EOS>,19493
h,a,14065
h,b,307
h,c,116
h,d,138
h,e,18798
h,f,259
h,g,77
h,h,112
h,i,14800
h,j,15
h,k,62
h,l,1785
h,m,904
h,n,992
h,o,14847
h,p,181
h,q,12
h,r,4080
h,s,836
h,t,2480
h,u,2801
h,v,33
h,w,409
h,y,8172
h,z,18
h,<EOS>,6069
i,a,20666
i,b,4670
i,c,35999
i,d,14417
i,e,13427
i,f,6241
i,g,7040
i,h,420
i,i,579
i,j,132
i,k,2633
i,l,15968
i,m,8343
i,n,60888
i,o,22038
i,p,7030
i,q,500
i,r,7287
i,s,36502
i,t,24854
i,u,2242
i,v,8371
i,w,147
i,x,767
i,y,91
i,z,8384
i,<EOS>,3372
j,a,1378
j,b,2
j,c,5
j,d,9
j,e,1055
j,g,2
j,h,8
j,i,413
j,j,6
j,k,4
j,l,3
j,m,4
j,n,16
j,o,1028
j,p,3
j,r,11
j,s,3
j,t,3
j,u,1463
j,v,1
j,w,2
j,y,7
j,<EOS>,30
k,a,2349
k,b,258
k,c,58
k,d,62
k,e,7885
k,f,191
k,g,36
k,h,465
k,i,4525
k,j,25
k,k,132
k,l,1194
k,m,242
k,n,769
k,o,1039
k,p,140
k,q,1
k,r,392
k,s,1770
k,t,258
k,u,485
k,v,30
k,w,299
k,x,1
k,y,670
k,z,3
k,<EOS>,3535
l,a,25052
l,b,743
l,c,1288
l,d,2320
l,e,34576
l,f,946
l,g,853
l,h,259
l,i,32897
l,j,20
l,k,901
l,l,18756
l,m,1399
l,n,1085
l,o,18943
l,p,1458
l,q,19
l,r,184
l,s,2966
l,t,3549
l,u,6727
l,v,1090
l,w,304
l,x,10
l,y,20196
l,z,51
l,<EOS>,18323
m,a,19645
m,b,4332
m,c,101
m,d,92
m,e,18877
m,f,231
m,g,37
m,h,80
m,i,18112
m,j,19
m,k,36
m,l,381
m,m,3427
m,n,1012
m,o,12427
m,p,6919
m,q,6
m,r,123
m,s,1851
m,t,102
m,u,4008
m,v,79
m,w,92
m,x,1
m,y,2804
m,z,15
m,<EOS>,10399
n,a,18634
n,b,1423
n,c,13467
n,d,15070
n,e,32262
n,f,3417
n,g,29714
n,h,1407
n,i,22288
n,j,522
n,k,2202
n,l,1794
n,m,1606
n,n,3948
n,o,20424
n,p,2539
n,q,489
n,r,2084
n,s,14511
n,t,29533
n,u,3301
n,v,1838
n,w,940
n,x,108
n,y,1749
n,z,527
n,<EOS>,25638
o,a,3667
o,b,4784
o,c,10905
o,d,7714
o,e,2840
o,f,2145
o,g,10671
o,h,1028
o,i,5816
o,j,155
o,k,1782
o,l,18296
o,m,17030
o,n,47067
o,o,7475
o,p,14881
o,q,329
o,r,28809
o,s,15626
o,t,12894
o,u,19518
o,v,6396
o,w,4375
o,x,1995
o,y,1060
o,z,761
o,<EOS>,3577
p,a,12543
p,b,205
p,c,142
p,d,94
p,e,17219
p,f,176
p,g,73
p,h,16764
p,i,10292
p,j,20
p,k,71
p,l,7341
p,m,224
p,n,540
p,o,12574
p,p,3577
p,q,4
p,r,14814
p,s,3871
p,t,4583
p,u,3814
p,v,8
p,w,187
p,x,1
p,y,1788
p,z,1
p,<EOS>,2737
q,a,21
q,d,2
q,e,6
q,f,1
q,g,1
q,h,2
q,i,18
q,l,2
q,m,1
q,n,2
q,o,4
q,p,2
q,q,4
q,r,6
q,s,5
q,t,8
q,u,5763
q,v,2
q,w,2
q,y,1
q,<EOS>,30
r,a,35216
r,b,3087
r,c,5741
r,d,5668
r,e,40023
r,f,1520
r,g,3256
r,h,2076
r,i,35622
r,j,183
r,k,1927
r,l,2822
r,m,6706
r,n,4308
r,o,31100
r,p,3507
r,q,147
r,r,5752
r,s,11857
r,t,8440
r,u,6071
r,v,1730
r,w,902
r,x,12
r,y,7582
r,z,119
r,<EOS>,20769
s,a,9272
s,b,483
s,c,9519
s,d,256
s,e,20839
s,f,485
s,g,267
s,h,11197
s,i,18106
s,j,71
s,k,1825
s,l,3754
s,m,7285
s,n,2573
s,o,8826
s,p,8551
s,q,1021
s,r,281
s,s,20858
s,t,34122
s,u,10456
s,v,130
s,w,1412
s,y,3007
s,z,20
s,<EOS>,75666
t,a,21117
t,b,538
t,c,1778
t,d,196
t,e,44229
t,f,748
t,g,271
t,h,16523
t,i,49645
t,j,67
t,k,69
t,l,3471
t,m,882
t,n,717
t,o,21357
t,p,395
t,q,20
t,r,20370
t,s,5670
t,t,5826
t,u,7301
t,v,82
t,w,1133
t,x,7
t,y,7364
t,z,340
t,<EOS>,20779
u,a,4130
u,b,5296
u,c,4527
u,d,3659
u,e,3452
u,f,968
u,g,2365
u,h,105
u,i,4152
u,j,80
u,k,531
u,l,14100
u,m,8779
u,n,27615
u,o,1042
u,p,5085
u,q,41
u,r,14229
u,s,19837
u,t,9310
u,u,70
u,v,450
u,w,30
u,x,403
u,y,147
u,z,280
u,<EOS>,812
v,a,5020
v,b,1
v,c,7
v,d,9
v,e,17745
v,g,8
v,h,1
v,i,6761
v,k,6
v,l,19
v,m,3
v,n,13
v,o,2556
v,p,3
v,r,105
v,s,26
v,t,8
v,u,459
v,v,44
v,w,2
v,y,134
v,z,4
v,<EOS>,141
w,a,4851
w,b,243
w,c,71
w,d,250
w,e,3495
w,f,137
w,g,50
w,h,1459
w,i,3643
w,j,5
w,k,180
w,l,615
w,m,145
w,n,959
w,o,3246
w,p,103
w,q,2
w,r,739
w,s,719
w,t,166
w,u,112
w,v,2
w,w,82
w,y,160
w,z,20
w,<EOS>,953
x,a,1050
x,b,41
x,c,613
x,d,18
x,e,1115
x,f,41
x,g,13
x,h,190
x,i,2140
x,k,2
x,l,60
x,m,33
x,n,13
x,o,759
x,p,972
x,q,13
x,r,13
x,s,101
x,t,1180
x,u,285
x,v,8
x,w,37
x,x,10
x,y,758
x,z,1
x,<EOS>,1027
y,a,2094
y,b,476
y,c,2270
y,d,1489
y,e,1694
y,f,226
y,g,911
y,h,210
y,i,1441
y,j,10
y,k,83
y,l,3861
y,m,2399
y,n,2325
y,o,1689
y,p,3739
y,q,5
y,r,2038
y,s,3655
y,t,2194
y,u,215
y,v,38
y,w,311
y,x,200
y,y,9
y,z,222
y,<EOS>,36777
z,a,2438
z,b,21
z,c,16
z,d,21
z,e,6290
z,f,3
z,g,9
z,h,15
z,i,2309
z,j,2
z,k,14
z,l,265
z,m,15
z,n,12
z,o,1848
z,p,16
z,q,4
z,r,11
z,s,15
z,t,14
z,u,131
z,v,9
z,w,18
z,y,442
z,z,567
z,<EOS>,252
<BOS>,a,25417
<BOS>,b,18413
<BOS>,c,32108
<BOS>,d,18733
<BOS>,e,14197
<BOS>,f,11893
<BOS>,g,10953
<BOS>,h,13743
<BOS>,i,13199
<BOS>,j,2840
<BOS>,k,3952
<BOS>,l,10002
<BOS>,m,19805
<BOS>,n,13459
<BOS>,o,12681
<BOS>,p,34860
<BOS>,q,1793
<BOS>,r,16783
<BOS>,s,38764
<BOS>,t,18819
<BOS>,u,22766
<BOS>,v,5329
<BOS>,w,6559
<BOS>,x,507
<BOS>,y,1143
<BOS>,z,1387
